0x410471, 24, 4, 6, 0, sendMTFValues, 0x40ceee, 1479734
0x40d280, 24, 4, 6, 0, sendMTFValues, 0x40ceee, 1479734
0x40d25b, 24, 4, 6, 0, sendMTFValues, 0x40ceee, 1479734
0x7f9474065470, 23, 17, 1.35294, 9, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9474065470, 23, 23, 1, 18446744073709551615, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f94602b1ce0, 23, 15, 1.53333, 6, get_nprocs_conf, 0x7f94602b1ca0, 359
0x7f94740645a0, 21, 3, 7, 0, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f94740607b8, 21, 6, 3.5, 5, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f947406c54e, 20, 0, 3.5, 18446744073709551615, _dl_mcount, 0x7f947406b7b0, 36529
0x7f947406c72a, 20, 20, 1, 18446744073709551615, _dl_mcount, 0x7f947406b7b0, 36529
0x7f9474073d69, 19, 18, 1.05556, 18446744073709551615, __tls_get_addr, 0x7f9474073230, 4090
0x7f9474063df8, 19, 12, 1.58333, 3, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f947407c0e9, 18, 5, 3.6, 2, _dl_catch_error, 0x7f94740783f0, 26276
0x7f9474071340, 18, 0, 3.6, 18446744073709551615, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f947407106a, 18, 0, 3.6, 18446744073709551615, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f9474070f9b, 18, 18, 1, 18446744073709551615, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f947406e653, 17, 7, 2.42857, 1, _dl_mcount, 0x7f947406b7b0, 36529
0x7f9474065470, 17, 0, 2.42857, 18446744073709551615, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9460235222, 17, 14, 1.21429, 1, __libc_malloc, 0x7f9460235120, 831
0x41085e, 17, 1, 17, 0, sendMTFValues, 0x40ceee, 1479734
0x410806, 17, 1, 17, 0, sendMTFValues, 0x40ceee, 1479734
0x410794, 17, 1, 17, 0, sendMTFValues, 0x40ceee, 1479734
0x7f9474078c00, 16, 1, 16, 0, _dl_catch_error, 0x7f94740783f0, 26276
0x7f9474066701, 16, 0, 16, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f94740603a0, 16, 4, 4, 3, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f947406027e, 16, 14, 1.14286, 1, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9460235156, 16, 0, 1.14286, 18446744073709551615, __libc_malloc, 0x7f9460235120, 831
0x7f94602b1ce0, 15, 10, 1.5, 4, get_nprocs_conf, 0x7f94602b1ca0, 359
